Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Sales_Projection
FDG52,13.65,LF,0.065630844,Frozen Foods,47.7402,OUT046,1997,Small,Tier 1,Supermarket Type1,675.24
NCL19,,Low Fat,0.027447057,Others,142.347,OUT019,1985,Small,Tier 1,Grocery Store,286.48
FDS10,19.2,Low Fat,0.035178935,Snack Foods,180.7318,OUT035,2004,Small,Tier 2,Supermarket Type1,2683.38
FDX22,6.785,Regular,0.038455125,Snack Foods,209.4928,OUT010,1998,,Tier 3,Grocery Store,489.15
NCF19,13.0,Low Fat,0.035102094,Household,47.6034,OUT035,2004,Small,Tier 2,Supermarket Type1,677.85
NCE06,5.825,Low Fat,0.091485232,Household,161.3894,OUT046,1997,Small,Tier 1,Supermarket Type1,2419.18
DRC27,13.8,Low Fat,0.058102469,Dairy,244.6802,OUT046,1997,Small,Tier 1,Supermarket Type1,3508.8
FDE21,12.8,LF,0.022940349,Fruits and Vegetables,116.5492,OUT035,2004,Small,Tier 2,Supermarket Type1,1741.23
NCR42,,Low Fat,0.06737681,Household,32.09,OUT019,1985,Small,Tier 1,Grocery Store,80.66
FDX51,9.5,Regular,0.022148582,Meat,194.9452,OUT018,2009,Medium,Tier 3,Supermarket Type2,2575.11
NCR06,12.5,Low Fat,0.006792707,Household,42.4112,OUT018,2009,Medium,Tier 3,Supermarket Type2,509.26
FDU31,,Regular,0.024870035,Fruits and Vegetables,217.7508,OUT027,1985,Medium,Tier 3,Supermarket Type3,5117.65
FDU59,5.78,Low Fat,0.096931426,Breads,164.2552,OUT017,2007,,Tier 2,Supermarket Type1,2475.66
FDR03,,Regular,0.008693632,Meat,205.098,OUT027,1985,Medium,Tier 3,Supermarket Type3,5112.03
FDS49,,Low Fat,0.078961284,Canned,80.3644,OUT027,1985,Medium,Tier 3,Supermarket Type3,2183.44
FDD48,10.395,Low Fat,0.050479463,Baking Goods,114.0176,OUT010,1998,,Tier 3,Grocery Store,224.09
NCF18,18.35,Low Fat,0.089485918,Household,192.1504,OUT017,2007,,Tier 2,Supermarket Type1,2842.16
NCD43,,Low Fat,0.01594238,Household,103.3964,OUT027,1985,Medium,Tier 3,Supermarket Type3,2574.11
NCD54,21.1,Low Fat,0.029127115,Household,143.3786,OUT018,2009,Medium,Tier 3,Supermarket Type2,1763.26
FDY19,19.75,LF,0.069236421,Fruits and Vegetables,116.6466,OUT010,1998,,Tier 3,Grocery Store,224.38
NCY54,8.43,Low Fat,0.178699961,Household,173.9422,OUT017,2007,,Tier 2,Supermarket Type1,2580.85
NCL19,15.35,Low Fat,0.015740089,Others,144.847,OUT018,2009,Medium,Tier 3,Supermarket Type2,1795.43
FDP23,6.71,Low Fat,0.059565107,Breads,217.2166,OUT010,1998,,Tier 3,Grocery Store,488.37
FDC26,10.195,Low Fat,0.126277921,Canned,112.1886,OUT013,1987,High,Tier 3,Supermarket Type1,1578.6
FDR14,11.65,Low Fat,0.291322397,Dairy,55.8298,OUT010,1998,,Tier 3,Grocery Store,124.09
NCS41,12.85,Low Fat,0.053433908,Health and Hygiene,183.2608,OUT035,2004,Small,Tier 2,Supermarket Type1,2819.79
FDF41,12.15,Low Fat,0.131155007,Frozen Foods,248.146,OUT035,2004,Small,Tier 2,Supermarket Type1,3512.82
FDU34,18.25,Low Fat,0.075194929,Snack Foods,124.9046,OUT046,1997,Small,Tier 1,Supermarket Type1,1865.19
DRH11,5.98,Low Fat,0.075557965,Hard Drinks,57.0614,OUT046,1997,Small,Tier 1,Supermarket Type1,775.97
FDM03,12.65,Low Fat,0.122928415,Meat,106.6938,OUT013,1987,High,Tier 3,Supermarket Type1,1493.19
FDS31,13.1,Regular,0.044442342,Fruits and Vegetables,181.0318,OUT017,2007,,Tier 2,Supermarket Type1,2694.93
FDJ20,20.7,Regular,0.100741569,Fruits and Vegetables,122.3388,OUT017,2007,,Tier 2,Supermarket Type1,1843.78
FDV44,,Regular,0.039651481,Fruits and Vegetables,188.7188,OUT027,1985,Medium,Tier 3,Supermarket Type3,4928.15
FDG02,7.855,Low Fat,0.011278673,Canned,188.8188,OUT049,1999,Medium,Tier 1,Supermarket Type1,2821.38
FDA09,13.35,Regular,0.0,Snack Foods,179.666,OUT013,1987,High,Tier 3,Supermarket Type1,2690.24
FDT04,17.25,LF,0.106952661,Frozen Foods,38.3822,OUT013,1987,High,Tier 3,Supermarket Type1,609.0
FDL58,,Regular,0.129825457,Snack Foods,263.2568,OUT019,1985,Small,Tier 1,Grocery Store,510.89
FDE52,10.395,Regular,0.029947409,Dairy,90.1514,OUT045,2002,,Tier 2,Supermarket Type1,1242.93
FDW12,8.315,Regular,0.035565457,Baking Goods,144.8444,OUT035,2004,Small,Tier 2,Supermarket Type1,2259.53
FDL51,20.7,Regular,0.047760002,Dairy,214.9876,OUT017,2007,,Tier 2,Supermarket Type1,3110.03
NCY42,,Low Fat,0.015089147,Household,141.347,OUT027,1985,Medium,Tier 3,Supermarket Type3,3197.1
FDR07,21.35,Low Fat,0.07818366,Fruits and Vegetables,96.8094,OUT017,2007,,Tier 2,Supermarket Type1,1391.8
FDN40,5.88,Low Fat,0.086632125,Frozen Foods,152.6998,OUT045,2002,,Tier 2,Supermarket Type1,2212.22
FDB35,,Regular,0.064306056,Starchy Foods,90.3804,OUT027,1985,Medium,Tier 3,Supermarket Type3,2463.52
FDA22,7.435,low fat,0.08493006,Starchy Foods,165.8158,OUT017,2007,,Tier 2,Supermarket Type1,2469.65
NCL06,14.65,Low Fat,0.072066634,Household,262.5594,OUT046,1997,Small,Tier 1,Supermarket Type1,3634.56
FDI35,14.0,Low Fat,0.041256807,Starchy Foods,181.2634,OUT013,1987,High,Tier 3,Supermarket Type1,2734.98
NCW42,18.2,Low Fat,0.058587558,Household,221.6456,OUT045,2002,,Tier 2,Supermarket Type1,3196.29
NCX06,17.6,Low Fat,0.015711434,Household,180.0976,OUT049,1999,Medium,Tier 1,Supermarket Type1,2699.2
FDC37,,Low Fat,0.032714163,Baking Goods,108.1938,OUT027,1985,Medium,Tier 3,Supermarket Type3,2604.49
FDZ14,7.71,Regular,0.047782552,Dairy,122.3756,OUT018,2009,Medium,Tier 3,Supermarket Type2,1560.16
DRG49,7.81,Low Fat,0.067560171,Soft Drinks,245.2486,OUT049,1999,Medium,Tier 1,Supermarket Type1,3642.37
NCG06,16.35,Low Fat,0.029505077,Household,256.2646,OUT045,2002,,Tier 2,Supermarket Type1,3542.66
DRC36,13.0,Regular,0.045076104,Soft Drinks,173.7054,OUT045,2002,,Tier 2,Supermarket Type1,2584.28
FDV21,,Low Fat,0.299544153,Snack Foods,124.8704,OUT019,1985,Small,Tier 1,Grocery Store,256.04
FDB53,13.35,Low Fat,0.139452413,Frozen Foods,148.6392,OUT046,1997,Small,Tier 1,Supermarket Type1,2217.74
DRP47,,Low Fat,0.246178257,Hard Drinks,252.4382,OUT019,1985,Small,Tier 1,Grocery Store,510.13
FDA14,16.1,LF,0.065128984,Dairy,145.176,OUT013,1987,High,Tier 3,Supermarket Type1,2225.43
DRC24,17.85,Low Fat,0.024816585,Soft Drinks,152.6998,OUT035,2004,Small,Tier 2,Supermarket Type1,2212.22
FDW21,5.34,Regular,0.005988175,Snack Foods,100.6358,OUT018,2009,Medium,Tier 3,Supermarket Type2,1217.33
NCH29,5.51,Low Fat,0.034473804,Health and Hygiene,97.3726,OUT046,1997,Small,Tier 1,Supermarket Type1,1397.09
FDU58,6.61,Regular,0.028987582,Snack Foods,188.6898,OUT013,1987,High,Tier 3,Supermarket Type1,2821.38
FDY27,6.38,Low Fat,0.032078604,Dairy,177.6344,OUT017,2007,,Tier 2,Supermarket Type1,2587.61
FDV56,16.1,Regular,0.013593151,Fruits and Vegetables,108.9596,OUT035,2004,Small,Tier 2,Supermarket Type1,1526.78
FDT59,13.65,LF,0.015911432,Breads,230.5668,OUT046,1997,Small,Tier 1,Supermarket Type1,3394.01
FDB23,19.2,Regular,0.005588601,Starchy Foods,225.5062,OUT046,1997,Small,Tier 1,Supermarket Type1,3237.44
FDR49,8.71,Low Fat,0.139510771,Canned,46.2376,OUT045,2002,,Tier 2,Supermarket Type1,678.46
FDB03,17.75,Regular,0.262504325,Dairy,242.2538,OUT010,1998,,Tier 3,Grocery Store,506.17
FDN39,19.35,Regular,0.0,Meat,165.7816,OUT045,2002,,Tier 2,Supermarket Type1,2469.65
FDX02,,Low Fat,0.056783774,Dairy,223.1404,OUT027,1985,Medium,Tier 3,Supermarket Type3,5172.35
FDQ16,,Low Fat,0.041536279,Frozen Foods,107.7912,OUT027,1985,Medium,Tier 3,Supermarket Type3,2605.13
FDU35,6.44,Low Fat,0.079538056,Breads,99.47,OUT018,2009,Medium,Tier 3,Supermarket Type2,1217.33
NCT29,12.6,Low Fat,0.064057374,Health and Hygiene,122.1414,OUT013,1987,High,Tier 3,Supermarket Type1,1851.14
FDZ27,7.935,Low Fat,0.017156262,Dairy,48.135,OUT046,1997,Small,Tier 1,Supermarket Type1,675.24
FDN57,18.25,Low Fat,0.054540968,Snack Foods,140.4154,OUT017,2007,,Tier 2,Supermarket Type1,1862.78
FDA03,18.5,Regular,0.045648973,Dairy,145.6102,OUT018,2009,Medium,Tier 3,Supermarket Type2,1795.43
FDZ36,6.035,Regular,0.065917194,Baking Goods,185.724,OUT045,2002,,Tier 2,Supermarket Type1,2819.02
NCU05,11.8,Low Fat,0.058687359,Health and Hygiene,81.1618,OUT013,1987,High,Tier 3,Supermarket Type1,1181.14
FDT39,6.26,Regular,0.009908113,Meat,151.1366,OUT018,2009,Medium,Tier 3,Supermarket Type2,2062.75
FDK60,16.5,Regular,0.094395215,Baking Goods,97.2068,OUT017,2007,,Tier 2,Supermarket Type1,1392.6
FDZ25,15.7,Regular,0.02777326,Canned,169.279,OUT017,2007,,Tier 2,Supermarket Type1,2580.45
FDG12,6.635,reg,0.006326106,Baking Goods,122.1098,OUT046,1997,Small,Tier 1,Supermarket Type1,1853.27
DRB01,,low fat,0.143990546,Soft Drinks,191.553,OUT019,1985,Small,Tier 1,Grocery Store,437.53
NCC43,,Low Fat,0.09233359,Household,250.6066,OUT027,1985,Medium,Tier 3,Supermarket Type3,5217.24
FDX13,,Low Fat,0.083661793,Canned,248.6092,OUT019,1985,Small,Tier 1,Grocery Store,507.65
FDM22,14.0,Regular,0.042022999,Snack Foods,53.064,OUT049,1999,Medium,Tier 1,Supermarket Type1,758.38
FDJ03,,Regular,0.072044336,Dairy,48.8692,OUT027,1985,Medium,Tier 3,Supermarket Type3,1189.93
FDU14,17.75,Low Fat,0.0,Dairy,249.775,OUT018,2009,Medium,Tier 3,Supermarket Type2,2751.45
FDB33,17.75,Low Fat,0.024404214,Fruits and Vegetables,159.0262,OUT010,1998,,Tier 3,Grocery Store,320.64
FDP27,8.155,Low Fat,0.119450639,Meat,190.653,OUT046,1997,Small,Tier 1,Supermarket Type1,2817.16
FDO38,17.25,Low Fat,0.121917641,Canned,76.6986,OUT010,1998,,Tier 3,Grocery Store,175.74
FDE28,,Regular,0.131905128,Frozen Foods,232.0668,OUT027,1985,Medium,Tier 3,Supermarket Type3,5212.78
FDO27,6.175,Regular,0.179043614,Meat,95.3752,OUT035,2004,Small,Tier 2,Supermarket Type1,1375.69
DRL23,,Low Fat,0.0152302,Hard Drinks,107.0938,OUT027,1985,Medium,Tier 3,Supermarket Type3,2590.29
FDS28,8.18,Regular,0.082401592,Frozen Foods,55.9588,OUT046,1997,Small,Tier 1,Supermarket Type1,776.42
FDX24,8.355,Low Fat,0.013917468,Baking Goods,92.5462,OUT013,1987,High,Tier 3,Supermarket Type1,1291.49
FDZ02,6.905,Regular,0.038140213,Dairy,96.3726,OUT035,2004,Small,Tier 2,Supermarket Type1,1383.13
FDL46,20.35,Low Fat,0.054166556,Snack Foods,116.9466,OUT045,2002,,Tier 2,Supermarket Type1,1742.13
FDS60,,Low Fat,0.03229139,Baking Goods,178.766,OUT027,1985,Medium,Tier 3,Supermarket Type3,4840.54
NCO06,19.25,Low Fat,0.108641498,Household,33.0558,OUT017,2007,,Tier 2,Supermarket Type1,473.86
FDO16,5.48,Low Fat,0.015105338,Frozen Foods,84.625,OUT035,2004,Small,Tier 2,Supermarket Type1,1215.59
FDC60,5.425,Regular,0.114650377,Baking Goods,87.3514,OUT049,1999,Medium,Tier 1,Supermarket Type1,1223.97
FDA48,12.1,Low Fat,0.115342009,Baking Goods,220.2114,OUT018,2009,Medium,Tier 3,Supermarket Type2,2653.04
FDZ36,,Regular,0.0,Baking Goods,186.424,OUT027,1985,Medium,Tier 3,Supermarket Type3,4933.37
FDK27,11.0,Low Fat,0.00896468,Meat,120.6756,OUT045,2002,,Tier 2,Supermarket Type1,1849.52
FDW23,5.765,Low Fat,0.082346376,Baking Goods,38.8164,OUT018,2009,Medium,Tier 3,Supermarket Type2,500.38
FDM14,13.8,Low Fat,0.013318,Canned,110.1254,OUT018,2009,Medium,Tier 3,Supermarket Type2,1264.28
FDM14,13.8,Low Fat,0.01325293,Canned,108.2254,OUT013,1987,High,Tier 3,Supermarket Type1,1501.1
FDW60,5.44,Regular,0.017131453,Baking Goods,177.837,OUT018,2009,Medium,Tier 3,Supermarket Type2,2494.47
FDE21,12.8,Low Fat,0.022925594,Fruits and Vegetables,116.4492,OUT013,1987,High,Tier 3,Supermarket Type1,1730.16
NCM42,6.13,Low Fat,0.028316137,Household,109.3912,OUT035,2004,Small,Tier 2,Supermarket Type1,1531.95
FDY59,8.195,Low Fat,0.052562923,Baking Goods,93.9462,OUT010,1998,,Tier 3,Grocery Store,192.41
DRI49,14.15,Low Fat,0.1837926,Soft Drinks,81.3276,OUT049,1999,Medium,Tier 1,Supermarket Type1,1188.6
FDT28,,Low Fat,0.111296158,Frozen Foods,151.2708,OUT019,1985,Small,Tier 1,Grocery Store,308.58
FDQ22,16.75,Low Fat,0.029860799,Snack Foods,39.5822,OUT018,2009,Medium,Tier 3,Supermarket Type2,500.38
FDR60,14.3,LF,0.130617879,Baking Goods,76.5328,OUT049,1999,Medium,Tier 1,Supermarket Type1,1095.47
FDC50,,LF,0.238990225,Canned,94.7094,OUT019,1985,Small,Tier 1,Grocery Store,193.7
FDV24,5.635,Low Fat,0.103186396,Baking Goods,151.805,OUT013,1987,High,Tier 3,Supermarket Type1,2182.27
DRF48,5.73,Low Fat,0.0,Soft Drinks,188.3898,OUT010,1998,,Tier 3,Grocery Store,412.1
FDQ47,7.155,Regular,0.168186376,Breads,36.5874,OUT046,1997,Small,Tier 1,Supermarket Type1,561.31
DRN36,15.2,low fat,0.050255855,Soft Drinks,97.3752,OUT049,1999,Medium,Tier 1,Supermarket Type1,1393.47
NCY06,15.25,Low Fat,0.061173235,Household,128.5968,OUT035,2004,Small,Tier 2,Supermarket Type1,1853.59
FDE52,10.395,Regular,0.029881147,Dairy,89.5514,OUT035,2004,Small,Tier 2,Supermarket Type1,1237.88
NCB54,8.76,Low Fat,0.050154219,Health and Hygiene,126.9336,OUT045,2002,,Tier 2,Supermarket Type1,1861.33
NCF31,9.13,Low Fat,0.051837621,Household,152.6024,OUT035,2004,Small,Tier 2,Supermarket Type1,2212.22
FDJ08,,Low Fat,0.11013617,Fruits and Vegetables,189.7846,OUT027,1985,Medium,Tier 3,Supermarket Type3,4908.23
NCC07,19.6,Low Fat,0.024086626,Household,106.0964,OUT017,2007,,Tier 2,Supermarket Type1,1494.83
NCD19,,Low Fat,0.013115567,Household,53.7614,OUT027,1985,Medium,Tier 3,Supermarket Type3,1591.93
FDL46,20.35,Low Fat,0.0,Snack Foods,118.9466,OUT049,1999,Medium,Tier 1,Supermarket Type1,1740.63
FDM20,10.0,Low Fat,0.038764258,Fruits and Vegetables,246.2144,OUT045,2002,,Tier 2,Supermarket Type1,3506.84
NCI06,11.3,Low Fat,0.07986963,Household,180.466,OUT010,1998,,Tier 3,Grocery Store,390.71
DRM11,6.57,Low Fat,0.066057085,Hard Drinks,259.3278,OUT035,2004,Small,Tier 2,Supermarket Type1,3623.32
NCH07,13.15,Low Fat,0.093044518,Household,158.4604,OUT018,2009,Medium,Tier 3,Supermarket Type2,2207.6
FDS23,4.635,Low Fat,0.140771867,Breads,129.4994,OUT013,1987,High,Tier 3,Supermarket Type1,1874.45
FDO49,10.6,Regular,0.033186809,Breakfast,49.1008,OUT018,2009,Medium,Tier 3,Supermarket Type2,534.21
FDS35,9.3,Low Fat,0.11139344,Breads,65.2826,OUT049,1999,Medium,Tier 1,Supermarket Type1,923.76
DRK39,7.02,Low Fat,0.049966527,Dairy,82.525,OUT045,2002,,Tier 2,Supermarket Type1,1206.5
DRI39,13.8,Low Fat,0.097212998,Dairy,58.293,OUT049,1999,Medium,Tier 1,Supermarket Type1,763.42
FDV04,7.825,Regular,0.150863781,Frozen Foods,158.0288,OUT017,2007,,Tier 2,Supermarket Type1,2367.6
NCN14,19.1,Low Fat,0.091900406,Others,182.5608,OUT035,2004,Small,Tier 2,Supermarket Type1,2835.54
FDH08,7.51,Low Fat,0.017414576,Fruits and Vegetables,231.101,OUT013,1987,High,Tier 3,Supermarket Type1,3479.49
FDS20,8.85,Low Fat,0.053866912,Fruits and Vegetables,183.0292,OUT046,1997,Small,Tier 1,Supermarket Type1,2828.07
FDV40,17.35,Low Fat,0.014714625,Frozen Foods,75.4038,OUT049,1999,Medium,Tier 1,Supermarket Type1,1011.43
FDZ48,17.75,Low Fat,0.127140836,Baking Goods,110.5544,OUT010,1998,,Tier 3,Grocery Store,210.86
FDS24,,Regular,0.061923154,Baking Goods,87.5514,OUT027,1985,Medium,Tier 3,Supermarket Type3,2305.54
FDK44,16.6,Low Fat,0.122417514,Fruits and Vegetables,174.3738,OUT049,1999,Medium,Tier 1,Supermarket Type1,2615.96
FDS48,15.15,Low Fat,0.0,Baking Goods,150.4708,OUT045,2002,,Tier 2,Supermarket Type1,2222.91
FDK26,5.46,Regular,0.053858378,Canned,186.924,OUT010,1998,,Tier 3,Grocery Store,412.1
FDD23,9.5,Regular,0.048784266,Starchy Foods,188.5898,OUT045,2002,,Tier 2,Supermarket Type1,2816.0
NCH54,13.5,LF,0.073080167,Household,161.492,OUT017,2007,,Tier 2,Supermarket Type1,2410.5
NCP14,8.275,Low Fat,0.184602443,Household,106.5306,OUT010,1998,,Tier 3,Grocery Store,204.99
FDM60,10.8,Regular,0.080582001,Baking Goods,39.4138,OUT010,1998,,Tier 3,Grocery Store,82.73
FDV24,5.635,Low Fat,0.103856487,Baking Goods,151.305,OUT017,2007,,Tier 2,Supermarket Type1,2222.91
FDH08,7.51,Low Fat,0.017500079,Fruits and Vegetables,228.801,OUT018,2009,Medium,Tier 3,Supermarket Type2,2712.53
FDS12,,Low Fat,0.173275373,Baking Goods,127.6362,OUT027,1985,Medium,Tier 3,Supermarket Type3,3113.82
FDR39,,Low Fat,0.083393481,Meat,180.6292,OUT027,1985,Medium,Tier 3,Supermarket Type3,4853.93
FDP12,,Regular,0.0450476,Baking Goods,36.4874,OUT027,1985,Medium,Tier 3,Supermarket Type3,920.4
DRF60,,Low Fat,0.051816577,Soft Drinks,236.4564,OUT027,1985,Medium,Tier 3,Supermarket Type3,5212.78
FDC09,15.5,Regular,0.026297031,Fruits and Vegetables,102.7332,OUT035,2004,Small,Tier 2,Supermarket Type1,1488.84
FDF50,4.905,low fat,0.117808305,Canned,198.5768,OUT018,2009,Medium,Tier 3,Supermarket Type2,2629.86
FDG28,9.285,Regular,0.049270974,Frozen Foods,243.9144,OUT035,2004,Small,Tier 2,Supermarket Type1,3507.96
NCE19,8.97,Low Fat,0.093540749,Household,55.4956,OUT017,2007,,Tier 2,Supermarket Type1,775.1
NCM53,18.75,Low Fat,0.087105823,Health and Hygiene,108.228,OUT010,1998,,Tier 3,Grocery Store,211.01
NCN18,8.895,Low Fat,0.0,Household,110.9544,OUT049,1999,Medium,Tier 1,Supermarket Type1,1533.44
FDF32,16.35,Low Fat,0.068068082,Fruits and Vegetables,199.1426,OUT035,2004,Small,Tier 2,Supermarket Type1,2719.41
FDF11,10.195,Regular,0.01761655,Starchy Foods,239.4538,OUT013,1987,High,Tier 3,Supermarket Type1,3646.06
DRI59,9.5,Low Fat,0.040898157,Hard Drinks,225.2088,OUT049,1999,Medium,Tier 1,Supermarket Type1,3298.1
NCG54,12.1,Low Fat,0.079791176,Household,169.5106,OUT035,2004,Small,Tier 2,Supermarket Type1,2580.45
FDM44,12.5,Low Fat,0.031049674,Fruits and Vegetables,101.399,OUT046,1997,Small,Tier 1,Supermarket Type1,1468.57
FDT57,15.2,Low Fat,0.019112323,Snack Foods,236.2248,OUT018,2009,Medium,Tier 3,Supermarket Type2,2745.51
FDV24,5.635,Low Fat,0.103272336,Baking Goods,151.205,OUT046,1997,Small,Tier 1,Supermarket Type1,2222.91
FDI50,,Regular,0.054001526,Canned,227.8352,OUT019,1985,Small,Tier 1,Grocery Store,505.11
FDS09,8.895,Regular,0.081073148,Snack Foods,51.2008,OUT035,2004,Small,Tier 2,Supermarket Type1,701.46
NCC31,,Low Fat,0.019774239,Household,154.5972,OUT027,1985,Medium,Tier 3,Supermarket Type3,3525.5
FDQ07,,Regular,0.153038134,Fruits and Vegetables,219.0456,OUT019,1985,Small,Tier 1,Grocery Store,497.28
FDC22,6.89,Regular,0.13720009,Snack Foods,191.882,OUT017,2007,,Tier 2,Supermarket Type1,2830.95
FDZ56,16.25,Low Fat,0.02573698,Fruits and Vegetables,169.3474,OUT046,1997,Small,Tier 1,Supermarket Type1,2580.45
FDZ40,,Low Fat,0.070354806,Frozen Foods,53.9298,OUT019,1985,Small,Tier 1,Grocery Store,123.66
FDS46,,Regular,0.047028483,Snack Foods,118.3782,OUT027,1985,Medium,Tier 3,Supermarket Type3,2989.37
DRD24,13.85,Low Fat,0.030857538,Soft Drinks,140.6154,OUT045,2002,,Tier 2,Supermarket Type1,1865.11
FDV45,16.75,Low Fat,0.045302246,Snack Foods,189.1556,OUT017,2007,,Tier 2,Supermarket Type1,2816.0
FDL26,18.0,Low Fat,0.073341257,Canned,155.7972,OUT045,2002,,Tier 2,Supermarket Type1,2236.05
FDA56,9.21,Low Fat,0.00880049,Fruits and Vegetables,123.0414,OUT018,2009,Medium,Tier 3,Supermarket Type2,1565.41
FDN27,20.85,Low Fat,0.039562497,Meat,118.1808,OUT046,1997,Small,Tier 1,Supermarket Type1,1728.53
FDM20,10.0,Low Fat,0.038745948,Fruits and Vegetables,245.0144,OUT049,1999,Medium,Tier 1,Supermarket Type1,3642.37
FDO16,5.48,Low Fat,0.015193653,Frozen Foods,82.825,OUT017,2007,,Tier 2,Supermarket Type1,1206.5
FDL03,19.25,Regular,0.027075481,Meat,195.611,OUT035,2004,Small,Tier 2,Supermarket Type1,2838.49
FDE58,18.5,Low Fat,0.052068722,Snack Foods,117.0124,OUT046,1997,Small,Tier 1,Supermarket Type1,1740.95
FDI02,,Regular,0.114010306,Canned,112.2202,OUT027,1985,Medium,Tier 3,Supermarket Type3,2992.22
NCC55,,LF,0.111641021,Household,38.8848,OUT019,1985,Small,Tier 1,Grocery Store,82.43
FDR03,15.7,Regular,0.008771522,Meat,205.798,OUT018,2009,Medium,Tier 3,Supermarket Type2,2629.86
FDB14,20.25,Regular,0.103304968,Canned,92.612,OUT017,2007,,Tier 2,Supermarket Type1,1303.54
FDR45,10.8,LF,0.028919203,Snack Foods,240.9222,OUT013,1987,High,Tier 3,Supermarket Type1,3652.94
NCN07,18.5,Low Fat,0.034136703,Others,130.0284,OUT017,2007,,Tier 2,Supermarket Type1,1874.93
FDM51,,Regular,0.045393469,Meat,102.2674,OUT019,1985,Small,Tier 1,Grocery Store,202.09
FDT52,,Regular,0.047199898,Frozen Foods,244.9144,OUT027,1985,Medium,Tier 3,Supermarket Type3,5217.24
FDL26,18.0,Low Fat,0.07319282,Canned,154.2972,OUT046,1997,Small,Tier 1,Supermarket Type1,2217.68
NCZ42,10.5,Low Fat,0.011287929,Household,238.9248,OUT046,1997,Small,Tier 1,Supermarket Type1,3499.33
DRI47,,Low Fat,0.036628533,Hard Drinks,145.6128,OUT019,1985,Small,Tier 1,Grocery Store,306.18
FDW40,14.0,Regular,0.105057952,Frozen Foods,141.1812,OUT013,1987,High,Tier 3,Supermarket Type1,1922.48
FDN34,15.6,Regular,0.0,Snack Foods,169.2132,OUT046,1997,Small,Tier 1,Supermarket Type1,2580.45
FDS01,11.6,Low Fat,0.017741644,Canned,178.3686,OUT035,2004,Small,Tier 2,Supermarket Type1,2582.22
NCG55,16.25,Low Fat,0.039225553,Household,116.2176,OUT045,2002,,Tier 2,Supermarket Type1,1741.23
FDC11,20.5,Low Fat,0.141766029,Starchy Foods,87.4172,OUT035,2004,Small,Tier 2,Supermarket Type1,1226.58
